Khmer Chicken Curry|Khmer|Maryland|Heat pot,add oil,add paste,add village,stir 1 min on medium temperature,add chicken,add potatoes,add beans,add onion,add water and remaining coconut,add season with fish sauce,stir and let it simmer
Banana Bread|Western|flour,sugar,ripe bananas,eggs,butter,baking soda,salt,vanilla extract|Mash bananas,mix with melted butter and sugar,add eggs and dry ingredients,pour into loaf pan,bake at 350°F for 60 minutes.
Blueberry Muffins|Western|flour,sugar,fresh blueberries,eggs,milk,butter,baking powder,salt|Mix dry ingredients,stir in milk and eggs,fold in blueberries gently,spoon into muffin tins,bake at 375°F for 20 minutes.
Brownies|Western|dark chocolate,butter,sugar,eggs,flour,cocoa powder,salt|Melt butter and chocolate together,mix in sugar and eggs,fold in dry ingredients,pour into a pan,bake at 350°F for 25 minutes.
Carrot Cake|Western|flour,sugar,grated carrots,eggs,vegetable oil,baking soda,cinnamon,walnuts,salt|Mix dry ingredients,add eggs and oil,stir in carrots and walnuts,bake at 350°F for 40 minutes.
Cheese Danish|Western|flour,butter,cream cheese,sugar,egg,vanilla extract|Prepare a simple pastry dough,fill with sweetened cream cheese mixture,shape into Danish pastries,bake at 375°F for 20 minutes.
Cheesecake|Western|graham crackers,cream cheese,sugar,eggs,butter,lemon juice|Crush crackers and mix with melted butter for the crust,blend cream cheese with sugar and eggs,pour over crust,bake at 325°F for 45 minutes.
Chocolate Cake|Western|flour,sugar,cocoa powder,butter,eggs,baking soda,milk,salt|Preheat oven to 350°F,whisk dry ingredients,add wet ingredients,mix well,bake for 35 minutes.
Chocolate Milkshake|Western|chocolate ice cream,milk,chocolate syrup,whipped cream|Blend chocolate ice cream with milk and syrup until smooth,pour into a glass,top with whipped cream.
Coffee Cake|Western|flour,sugar,butter,eggs,cinnamon,baking powder,milk,brown sugar|Mix dry ingredients,blend with wet ingredients,add a cinnamon-brown sugar swirl,bake at 350°F for 35 minutes.
Fruit Salad|Western|strawberries,blueberries,kiwi,apple,orange,honey,lemon juice|Chop all fruits,combine in a bowl,drizzle with honey and lemon juice,toss gently.
Lemon Drizzle Cake|Western|flour,sugar,butter,eggs,lemon zest,lemon juice,baking powder,salt|Cream butter and sugar,add eggs and lemon zest,fold in dry ingredients,bake at 350°F for 30 minutes,drizzle with lemon juice mixed with extra sugar.
Oatmeal Cookies|Western|rolled oats,flour,brown sugar,butter,eggs,baking soda,raisins|Mix dry ingredients,add butter and eggs,fold in raisins and oats,drop spoonfuls onto a baking sheet,bake at 350°F for 12 minutes.
Pancakes|Western|flour,milk,eggs,sugar,baking powder,salt,butter|Mix dry ingredients,whisk in milk and eggs,pour batter onto a hot griddle,cook until bubbles form,flip and cook until golden.
Red Velvet Cake|Western|flour,sugar,cocoa powder,buttermilk,eggs,butter,red food coloring,vinegar,baking soda,salt|Combine dry ingredients,whisk together wet ingredients,mix until smooth,bake at 350°F for 30 minutes,then frost as desired.
Rice Pudding|Western|rice,milk,sugar,cinnamon,raisins,vanilla extract|Simmer rice in milk with sugar and cinnamon,stir in raisins and vanilla,cook until creamy,serve warm or chilled.
Sponge Cake|Western|eggs,sugar,flour,baking powder,salt|Beat eggs and sugar until light and fluffy,carefully fold in sifted flour and baking powder,bake at 350°F for 25 minutes.
Strawberry Smoothie|Western|strawberries,banana,yogurt,milk,honey|Blend strawberries,banana,yogurt,milk,and a drizzle of honey until smooth,serve chilled.
Vanilla Cake|Western|flour,sugar,butter,eggs,vanilla extract,baking powder,milk,salt|Preheat oven to 350°F,mix dry ingredients,add wet ingredients,stir until smooth,bake for 30 minutes.
Vanilla Cupcakes|Western|flour,sugar,butter,eggs,vanilla extract,baking powder,milk,salt|Cream butter with sugar,add eggs and vanilla,gently fold in flour with baking powder and milk,bake in cupcake tins at 350°F for 20 minutes.
Waffles|Western|flour,milk,eggs,sugar,baking powder,salt,melted butter|Combine dry and wet ingredients to form a smooth batter,pour into a preheated waffle iron,cook until crisp and golden.
Red Curry|Thai|Beef or Chicken,red curry paste,coconut milk,bamboo shoots,bell peppers,kaffir lime leaves,Thai basil,fish sauce,sugar|Sauté red curry paste with coconut milk. Add meat,bamboo shoots,and bell peppers. Season with fish sauce and sugar. Add kaffir lime leaves and Thai basil. Serve with rice.
Pho Bo (Beef Noodle Soup)|Vietnamese|1 kg Beef Bones,500g Beef Brisket,200g Rice Noodles,1 Onion,1 inch Ginger,2 Star Anise,1 Cinnamon Stick,3 tbsp Fish Sauce,1 tbsp Sugar,Bean Sprouts,Cilantro,Basil,Lime|Simmer beef bones with onion,ginger,and spices. Cook noodles. Slice beef. Assemble noodles,broth,beef,and herbs.
